,0
0,0.8107137899797342
1,-0.6712371897765833
2,-0.04685211337929862
3,1.1585514706619633
4,-0.766152369608583
5,1.2381781293194458
6,-0.7127111454889017
7,-0.5094184088273982
8,0.7887128399421024
9,-0.1894247094019414
10,1.667359051771416
11,0.4351128483111979
12,0.6380897342122938
13,-0.8515957070969837
14,1.4062195859044302
15,2.117484472084611
16,0.5273170491721041
17,0.9593885503922073
18,-0.9605248632585653
19,1.763768138821454
20,-0.3552179105089753
21,0.2662614385579017
22,0.34651081891027113
23,-0.3049091628958335
24,0.42386973462345007
25,1.2718203632591818
26,-0.1091408608021224
27,-0.8242003320912382
28,1.152150822133732
29,-0.41335490286547794
30,-1.3570835987450358
31,-2.059091074146558
32,-0.5023200696568155
33,-0.032871387048081804
34,1.8509716517822399
35,-0.3805601692967112
36,1.456994098457931
37,-0.06601607549570124
38,-1.0265100451564257
39,-0.16207653815352502
